name,specialty,experience,hospital,location,rating,reviews,image_url
Dr. Shahlo Tursunova,Pediatr,5 yil,Shifo Info Klinikasi,Toshkent sh.,4.9,"Bolamizni tez tuzatib berishdi.;Mehribon va e'tiborli shifokor.;Har doim aloqada bo'ladilar.;Tavsiya qilamiz.;Rahmat!",https://images.unsplash.com/photo-1559839734-2b71ea197ec2
Dr. Bekzod Omonov,Nevrolog,9 yil,Neuro Plus Markazi,Farg'ona sh.,4.8,"Asabiy zo'riqishlardan qiynalayotgandim, yordam berishdi.;Malakali mutaxassis.;Dori-darmonlarni kam va aniq yozdilar.;Tashakkur.;Zo'r doktor!",https://images.unsplash.com/photo-1622253692010-333f2da6031d
Dr. Gulchehra Ismoilova,Ginekolog,16 yil,Akfa Medline,Toshkent sh.,5.0,"Eng zo'r shifokorlardan biri.;Ishiga o'ta mas'uliyatli.;Barcha savollarimga javob oldim.;Juda mamnunman.;Rahmat!",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Jasur Mamatov,Stomatolog,7 yil,Stomo Servis,Namangan sh.,4.8,"Tishimni og'riqsiz davolashdi.;Sifati ajoyib.;Narxlari ham hamyonbop.;Qo'llari yengil ekan.;Tavsiya qilaman!",https://images.unsplash.com/photo-1622902046580-2b47f47f5471
Dr. Nodira Yunusova,Kardiolog,10 yil,Cardio Med,Toshkent sh.,4.9,"Yurak og'riqlarim to'xtadi.;Juda e'tiborli doktor.;Tavsiyalari juda foydali bo'ldi.;Rahmat shifokorga.;Zo'r mutaxassis!",https://images.unsplash.com/photo-1537368910025-700350fe46c7
Dr. Oybek Fayziyev,Urolog,12 yil,Shifo Nur,Samarqand sh.,4.7,"O'z ishining ustasi.;Muammoni tez topib, davoladilar.;Xushmuomala va professional.;Tashakkur.;Tavsiya qilaman!",https://images.unsplash.com/photo-1622253692010-333f2da6031d
Dr. Ziyoda Mahmudova,Oftalmolog,6 yil,Nur ko'z klinikasi,Buxoro sh.,4.9,"Ko'zoynakdan qutulish sirlarini o'rgatdilar.;Juda zamonaviy shifokor.;Rahmat katta.;Ishlari rivoj bersin.;Zo'r!",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Anvar Jumayev,Xirurg,15 yil,1-sonli shahar kasalxonasi,Toshkent sh.,5.0,"Qo'llari dard ko'rmasin, haqiqiy xirurg.;Operatsiya muvaffaqiyatli o'tdi.;Juda minnatdorman.;professional yondashuv.;Rahmat!",https://images.unsplash.com/photo-1537368910025-700350fe46c7
Dr. Feruza Sodiqova,Dermatolog,8 yil,Derma Life,Toshkent sh.,4.8,"Teri muammolarimdan asar ham qolmadi.;To'g'ri vositalarni tavsiya etdilar.;Juda madaniyatli shifokor.;Rahmat!;Tavsiya qilaman.",https://images.unsplash.com/photo-1559839734-2b71ea197ec2
Dr. Sherzod Rahmonov,Ortoped,11 yil,Travmatologiya markazi,Toshkent sh.,4.9,"Suyaklarim tez bitib ketishiga yordam berishdi.;Malakali mutaxassis.;Maslahatlari juda o'rinli bo'ldi.;Rahmat!;Zo'r shifokor.",https://images.unsplash.com/photo-1622253692010-333f2da6031d
Dr. Dildora Ergasheva,Endokrinolog,9 yil,Medikal Park,Samarqand sh.,4.8,"Gormonlar bo'yicha barcha tahlillarimni tekshirib, davo yozdilar.;Juda aqlli doktor.;Rahmat!;Tavsiya qilaman.;Ishidan mamnunman.",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Murod Xolov,LOR,7 yil,Lor Servis,Qashqadaryo sh.,4.7,"Quloq og'rig'im tez tuzaldi.;Yaxshi shifokor ekan.;Muomalasi ajoyib.;Rahmat!;Tavsiya qilaman.",https://images.unsplash.com/photo-1622253692010-333f2da6031d
Dr. Gulnora Aliyeva,Terapevt,13 yil,Shifo klinika,Namangan sh.,4.9,"Tajribali terapevt.;Hamma kasalliklarimni birma-bir tekshirib davoladilar.;Rahmat!;Juda e'tiborli.;Zo'r!",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Botir Qurbonov,Nevrolog,14 yil,Nevromed,Toshkent sh.,5.0,"Asab tizimini davolashda tengi yo'q.;Juda ko'p narsani tushuntirdilar.;Rahmat katta.;Professional yondashuv.;Tavsiya qilaman.",https://images.unsplash.com/photo-1622253692010-333f2da6031d
Dr. Madina Xoliqova,Pediatr,6 yil,Bolalar shifoxonasi,Andijon sh.,4.8,"Farzandimiz tez sog'aydi.;Mehribon doktor.;Bolalar tili topishni biladilar.;Rahmat!;Ajoyib mutaxassis.",https://images.unsplash.com/photo-1559839734-2b71ea197ec2
Dr. Sanjar Islomov,Stomatolog,10 yil,Dental Pro,Toshkent sh.,4.9,"Tishlarimni chiroyli qilib qo'yishdi.;Og'riqsiz davolashdi.;Rahmat!;Juda toza ishlaydi.;Tavsiya qilaman.",https://images.unsplash.com/photo-1622902046580-2b47f47f5471
Dr. Mohira Toirova,Ginekolog,12 yil,Ayollar salomatligi,Toshkent sh.,4.8,"Malakali yondashuv.;Barcha savollarimga javob oldim.;Rahmat!;Juda e'tiborli doktor.;Mamnunman.",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Ulug'bek Nazarov,Kardiolog,9 yil,Yurak markazi,Buxoro sh.,4.9,"Yuragim tinchidi.;Rahmat shifokorga.;Zo'r mutaxassis.;Maslahatlari foydali bo'ldi.;Tavsiya qilaman.",https://images.unsplash.com/photo-1537368910025-700350fe46c7
Dr. Sevara Qodirova,Dermatolog,5 yil,Skin Clinic,Toshkent sh.,4.7,"Yuzimdagi muammolar ketdi.;Rahmat!;Zarur maslahatlar berishdi.;Ajoyib doktor.;Tavsiya qilaman.",https://images.unsplash.com/photo-1559839734-2b71ea197ec2
Dr. Xurshidbek Karimov,Xirurg,11 yil,Shoshilinch tibbiyot,Toshkent sh.,5.0,"Haqiqiy qutqaruvchi doktor.;Operatsiya ajoyib o'tdi.;Rahmat!;O'z ishining ustasi.;Tavsiya qilaman.",https://images.unsplash.com/photo-1537368910025-700350fe46c7
Dr. Barno Hakimova,Oftalmolog,10 yil,Optik Med,Samarqand sh.,4.9,"Ko'zoynagimni almashtirib, to'g'ri retsept yozdilar.;Rahmat!;Juda xushmuomala.;Zo'r mutaxassis.",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Oybek Toshmatov,Ortoped,8 yil,Travma Servis,Toshkent sh.,4.8,"Oyoq og'rig'im tuzaldi.;Rahmat!;Professional yondashuv.;Tavsiya qilaman.;Zo'r doktor.",https://images.unsplash.com/photo-1622253692010-333f2da6031d
Dr. Nigora Usmonova,Endokrinolog,7 yil,Med Life,Toshkent sh.,4.8,"Metabolizmni tikladilar.;Rahmat!;Juda bilimli shifokor.;Tavsiya qilaman.;Mamnunman.",https://images.unsplash.com/photo-1559839734-2b71ea197ec2
Dr. Rustam Nazarov,Urolog,13 yil,Uro Med,Toshkent sh.,4.9,"Muammoni tez hal qildilar.;Rahmat!;Tajribali mutaxassis.;Tavsiya qilaman.;Zo'r!",https://images.unsplash.com/photo-1622253692010-333f2da6031d
Dr. Zulfiya Rahimova,Terapevt,11 yil,Shifo Nur,Namangan sh.,4.8,"Dam olish maskanidek muomalada bo'ldilar.;Rahmat!;Aniq tashxis qo'ydilar.;Tavsiya qilaman.",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Farrux Ziyoyev,Nevrolog,6 yil,Nevro Med,Samarqand sh.,4.7,"Bosh og'rig'im qoldi.;Rahmat!;Yaxshi shifokor.;Tavsiya qilaman.;Zo'r mutaxassis.",https://images.unsplash.com/photo-1622253692010-333f2da6031d
Dr. Dilshodbek Ahmedov,Stomatolog,8 yil,Dent Master,Toshkent sh.,4.9,"Tishimni qutqardilar.;Rahmat!;Og'riqsiz davolashdi.;Tavsiya qilaman.;Ajoyib!",https://images.unsplash.com/photo-1622902046580-2b47f47f5471
Dr. Gulandom Saidova,Pediatr,9 yil,Bolalar shifoxonasi,Toshkent sh.,5.0,"Farzandlarimiz uchun eng sevimli doktor.;Rahmat!;Mehribon va e'tiborli.;Tavsiya qilamiz.",https://images.unsplash.com/photo-1559839734-2b71ea197ec2
Dr. Asrorbek Tursunov,Kardiolog,14 yil,Kardio Plus,Toshkent sh.,5.0,"Yurak kasalliklari bo'yicha super mutaxassis.;Rahmat!;Hayotimni saqlab qoldilar.;Tavsiya qilaman.",https://images.unsplash.com/photo-1537368910025-700350fe46c7
Dr. Kamola Rahimova,Ginekolog,10 yil,Ayollar klinikasi,Toshkent sh.,4.9,"Juda e'tiborli va bilimli doktor.;Rahmat!;Barcha savollarimga javob oldim.;Tavsiya qilaman.",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Mardonbek Sobirov,LOR,9 yil,Lor Center,Buxoro sh.,4.8,"Tomoq og'rig'im tez tuzaldi.;Rahmat!;Zo'r shifokor.;Tavsiya qilaman.;Professional.",https://images.unsplash.com/photo-1622253692010-333f2da6031d
Dr. Shahlo Karimova,Oftalmolog,7 yil,Vision Plus,Toshkent sh.,4.8,"Ko'z nurim yaxshilandi.;Rahmat!;Zamonaviy uskunalar bilan tekshirdilar.;Tavsiya qilaman.",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Boburmirzo Ismoilov,Xirurg,12 yil,Respublika xirurgiya,Toshkent sh.,5.0,"Oltin qo'lli xirurg.;Rahmat!;Operatsiya ajoyib o'tdi.;Tavsiya qilaman.;Zo'r!",https://images.unsplash.com/photo-1537368910025-700350fe46c7
Dr. Ziyoda Tursunova,Dermatolog,6 yil,Derma Med,Toshkent sh.,4.7,"Terim sog'lomlashdi.;Rahmat!;To'g'ri muolaja yozdilar.;Tavsiya qilaman.;Zo'r doktor.",https://images.unsplash.com/photo-1559839734-2b71ea197ec2
Dr. Jasurbek Ahmedov,Ortoped,10 yil,Ortopediya markazi,Toshkent sh.,4.9,"Bel og'rig'im qoldi.;Rahmat!;Juda malakali mutaxassis.;Tavsiya qilaman.;Ajoyib!",https://images.unsplash.com/photo-1622253692010-333f2da6031d
Dr. Nodira Sodiqova,Endokrinolog,8 yil,Endo Med,Toshkent sh.,4.8,"Shakar miqdorini joyiga tushirdilar.;Rahmat!;Bilimli doktor.;Tavsiya qilaman.;Zo'r!",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Sardorbek Rahimov,Urolog,11 yil,Uro Center,Toshkent sh.,4.9,"Tez va samarali davoladilar.;Rahmat!;Tajribali shifokor.;Tavsiya qilaman.;Ajoyib!",https://images.unsplash.com/photo-1622253692010-333f2da6031d
Dr. Malika Tursunova,Terapevt,7 yil,Med Plaza,Toshkent sh.,4.8,"Insofli va bilimli terapevt.;Rahmat!;Barcha dardlarimni tinglab davo yozdilar.;Tavsiya qilaman.",https://images.unsplash.com/photo-1594824813575-584f1b0a8862
Dr. Alisher Fayziyev,Nevrolog,13 yil,Nevrologiya markazi,Toshkent sh.,5.0,"Asab kasalliklari bo'yicha professional.;Rahmat!;Maslahatlari oltinga teng.;Tavsiya qilaman.;Zo'r!",https://images.unsplash.com/photo-1622253692010-333f2da6031d
